Feature,Importance,Std
derived_feature_5,0.10203819999999994,0.0004728727383415886
derived_feature_6,0.05325766666666665,0.00038785429681202963
derived_feature_7,0.05092546666666664,0.00035119944317850855
feature_1,0.03914726666666663,0.0003277020937104652
feature_6,0.03733833333333329,0.0005234638690704618
derived_feature_2,0.025794333333333305,0.00032757658985682446
feature_2,0.02523039999999997,0.00033973456305376356
feature_4,0.019889999999999963,0.00030250377408112675
derived_feature_4,0.018213599999999965,0.0003044025405062627
feature_9,0.015932333333333302,0.0002971886419244247
feature_7,0.015714933333333295,0.00027866239231171767
derived_feature_1,0.014404266666666625,0.0002821752331836082
feature_10,0.013512466666666641,0.0002905345341875059
feature_11,0.008803066666666626,0.00024417356304253597
feature_13,0.006481266666666629,0.00024770546129538376
feature_14,0.006426266666666639,0.00025412896113761687
derived_feature_3,0.0060193333333332984,0.00015252395076038392
feature_17,0.005321199999999967,0.00021031886902194265
feature_15,0.005281399999999954,0.0002811225829894584
feature_21,0.0038041333333333,0.0001862263377959507
feature_18,0.00372893333333331,0.00016379884682811232
feature_19,0.0033662666666666287,0.00016675229800181812
feature_8,0.0007590666666666227,0.00013579075406259272
feature_12,0.0006880666666666313,0.00014662922249295666
feature_3,0.0004895999999999716,0.0001560738286837385
feature_5,0.0003957999999999684,0.00017071797405857815
feature_16,0.0003486666666666379,0.00013597679540601425
feature_20,0.00024606666666663707,0.00017441978735860728
